Depth,Temperature
327.5,44.912
328,45.136
328.5,45.301
329,45.291
329.5,45.469
330,46.121
330.5,46.831
331,47.071
331.5,47.016
332,47.176
332.5,47.641
333,48.14
333.5,48.476
334,48.616
334.5,48.612
335,48.553
335.5,48.496
336,48.462
336.5,48.497
337,48.611
337.5,48.696
338,48.659
338.5,48.571
339,48.561
339.5,48.619
340,48.584
340.5,48.403
341,48.27
341.5,48.398
342,48.707
342.5,48.913
343,48.861
343.5,48.621
344,48.333
344.5,48.129
345,48.074
345.5,48.083
346,48.033
346.5,47.94
347,47.924
347.5,48.019
348,48.099
348.5,48.042
349,47.929
349.5,47.913
350,47.962
350.5,47.96
351,47.963
351.5,48.091
352,48.244
352.5,48.284
353,48.364
353.5,48.667
354,49.005
354.5,49.085
355,48.925
355.5,48.74
356,48.657
356.5,48.645
357,48.578
357.5,48.426
358,48.363
358.5,48.514
359,48.71
359.5,48.715
360,48.591
360.5,48.599
361,48.75
361.5,48.776
362,48.608
362.5,48.493
363,48.569
363.5,48.678
364,48.645
364.5,48.523
365,48.515
365.5,48.683
366,48.833
366.5,48.777
367,48.595
367.5,48.505
368,48.571
368.5,48.641
369,48.607
369.5,48.576
370,48.648
370.5,48.697
371,48.624
371.5,48.555
372,48.598
372.5,48.646
373,48.59
373.5,48.512
374,48.553
374.5,48.724
375,48.902
375.5,48.92
376,48.726
376.5,48.519
377,48.575
377.5,48.87
378,49.058
378.5,48.925
379,48.658
379.5,48.543
380,48.561
380.5,48.524
381,48.467
381.5,48.588
382,48.918
382.5,49.318
383,49.661
383.5,49.869
384,49.927
384.5,49.867
385,49.627
385.5,49.107
386,48.519
386.5,48.291
387,48.451
387.5,48.616
388,48.645
388.5,48.726
389,48.856
389.5,48.853
390,48.783
390.5,48.876
391,49.079
391.5,49.105
392,48.918
392.5,48.804
393,48.884
393.5,48.982
394,49.011
394.5,49.066
395,49.119
395.5,49.04
396,48.867
396.5,48.736
397,48.673
397.5,48.641
398,48.651
398.5,48.759
399,48.976
399.5,49.161
400,49.146
400.5,49.006
401,48.968
401.5,49.045
402,49.066
402.5,49.008
403,48.99
403.5,49.008
404,48.971
404.5,48.894
405,48.856
405.5,48.842
406,48.806
406.5,48.775
407,48.786
407.5,48.83
408,48.895
408.5,48.941
409,48.901
409.5,48.836
410,48.908
410.5,49.098
411,49.206
411.5,49.151
412,49.008
412.5,48.84
413,48.716
413.5,48.732
414,48.862
414.5,48.943
415,48.886
415.5,48.761
416,48.65
416.5,48.588
417,48.596
417.5,48.649
418,48.66
418.5,48.584
419,48.446
419.5,48.295
420,48.201
420.5,48.163
421,48.075
421.5,47.986
422,48.141
422.5,48.539
423,48.83
423.5,48.84
424,48.743
424.5,48.672
425,48.611
425.5,48.584
426,48.622
426.5,48.679
427,48.717
427.5,48.723
428,48.674
428.5,48.611
429,48.633
429.5,48.712
430,48.698
430.5,48.586
431,48.583
431.5,48.772
432,48.95
432.5,48.915
433,48.768
433.5,48.761
434,48.944
434.5,49.129
435,49.177
435.5,49.115
436,49.053
436.5,49.072
437,49.167
437.5,49.266
438,49.327
438.5,49.351
439,49.334
439.5,49.281
440,49.217
440.5,49.166
441,49.151
441.5,49.175
442,49.161
442.5,49.069
443,49.041
443.5,49.189
444,49.326
444.5,49.239
445,49.095
445.5,49.191
446,49.471
446.5,49.648
447,49.63
447.5,49.556
448,49.537
448.5,49.564
449,49.569
449.5,49.511
450,49.425
450.5,49.379
451,49.413
451.5,49.492
452,49.533
452.5,49.483
453,49.377
453.5,49.291
454,49.256
454.5,49.263
455,49.313
455.5,49.379
456,49.383
456.5,49.342
457,49.397
457.5,49.575
458,49.72
458.5,49.722
459,49.632
459.5,49.569
460,49.608
460.5,49.709
461,49.75
461.5,49.702
462,49.648
462.5,49.656
463,49.71
463.5,49.736
464,49.678
464.5,49.589
465,49.576
465.5,49.652
466,49.738
466.5,49.778
467,49.773
467.5,49.744
468,49.717
468.5,49.737
469,49.845
469.5,49.996
470,50.087
470.5,50.079
471,50.029
471.5,49.998
472,49.993
472.5,49.969
473,49.885
473.5,49.785
474,49.768
474.5,49.843
475,49.911
475.5,49.914
476,49.883
476.5,49.868
477,49.888
477.5,49.898
478,49.835
478.5,49.734
479,49.723
479.5,49.831
480,49.931
480.5,49.939
481,49.945
481.5,50.03
482,50.121
482.5,50.138
483,50.121
483.5,50.116
484,50.107
484.5,50.112
485,50.149
485.5,50.159
486,50.083
486.5,49.975
487,49.946
487.5,49.996
488,49.986
488.5,49.859
489,49.765
489.5,49.81
490,49.872
490.5,49.845
491,49.815
491.5,49.852
492,49.89
492.5,49.93
493,50.052
493.5,50.204
494,50.249
494.5,50.202
495,50.184
495.5,50.213
496,50.212
496.5,50.137
497,50.031
497.5,49.973
498,49.983
498.5,49.997
499,49.983
499.5,49.989
500,50.042
500.5,50.077
501,50.041
501.5,49.98
502,49.983
502.5,50.063
503,50.121
503.5,50.081
504,50.032
504.5,50.139
505,50.368
505.5,50.48
506,50.396
506.5,50.303
507,50.303
507.5,50.286
508,50.198
508.5,50.15
509,50.199
509.5,50.244
510,50.212
510.5,50.181
511,50.215
511.5,50.238
512,50.18
512.5,50.098
513,50.081
513.5,50.126
514,50.188
514.5,50.235
515,50.233
515.5,50.192
516,50.206
516.5,50.326
517,50.456
517.5,50.485
518,50.435
518.5,50.371
519,50.299
519.5,50.24
520,50.244
520.5,50.277
521,50.259
521.5,50.199
522,50.191
522.5,50.263
523,50.336
523.5,50.339
524,50.3
524.5,50.294
525,50.33
525.5,50.349
526,50.326
526.5,50.303
527,50.312
527.5,50.331
528,50.368
528.5,50.474
529,50.611
529.5,50.658
530,50.581
530.5,50.471
531,50.401
531.5,50.363
532,50.348
532.5,50.355
533,50.361
533.5,50.356
534,50.357
534.5,50.363
535,50.368
535.5,50.411
536,50.488
536.5,50.491
537,50.378
537.5,50.286
538,50.336
538.5,50.446
539,50.46
539.5,50.396
540,50.421
540.5,50.569
541,50.672
541.5,50.637
542,50.557
542.5,50.507
543,50.461
543.5,50.417
544,50.41
544.5,50.43
545,50.447
545.5,50.45
546,50.443
546.5,50.429
547,50.418
547.5,50.427
548,50.46
548.5,50.478
549,50.451
549.5,50.419
550,50.441
550.5,50.491
551,50.493
551.5,50.471
552,50.52
552.5,50.636
553,50.71
553.5,50.68
554,50.593
554.5,50.532
555,50.517
555.5,50.498
556,50.473
556.5,50.499
557,50.568
557.5,50.602
558,50.571
558.5,50.514
559,50.484
559.5,50.507
560,50.545
560.5,50.554
561,50.549
561.5,50.543
562,50.521
562.5,50.487
563,50.468
563.5,50.492
564,50.582
564.5,50.71
565,50.77
565.5,50.695
566,50.563
566.5,50.509
567,50.558
567.5,50.612
568,50.604
568.5,50.563
569,50.54
569.5,50.555
570,50.569
570.5,50.527
571,50.457
571.5,50.449
572,50.524
572.5,50.618
573,50.675
573.5,50.685
574,50.659
574.5,50.625
575,50.627
575.5,50.689
576,50.772
576.5,50.806
577,50.783
577.5,50.742
578,50.684
578.5,50.612
579,50.577
579.5,50.579
580,50.56
580.5,50.543
581,50.59
581.5,50.634
582,50.577
582.5,50.477
583,50.448
583.5,50.49
584,50.557
584.5,50.643
585,50.717
585.5,50.707
586,50.592
586.5,50.452
587,50.452
587.5,50.651
588,50.847
588.5,50.806
589,50.583
589.5,50.411
590,50.389
590.5,50.45
591,50.507
591.5,50.549
592,50.61
592.5,50.672
593,50.664
593.5,50.585
594,50.536
594.5,50.573
595,50.638
595.5,50.667
596,50.659
596.5,50.648
597,50.679
597.5,50.739
598,50.717
598.5,50.599
599,50.568
599.5,50.711
600,50.851
600.5,50.828
601,50.711
601.5,50.621
602,50.568
602.5,50.529
603,50.537
603.5,50.602
604,50.641
604.5,50.584
605,50.472
605.5,50.416
606,50.47
606.5,50.567
607,50.579
607.5,50.493
608,50.444
608.5,50.524
609,50.671
609.5,50.748
610,50.683
610.5,50.579
611,50.617
611.5,50.798
612,50.925
612.5,50.89
613,50.792
613.5,50.727
614,50.68
614.5,50.632
615,50.619
615.5,50.65
616,50.692
616.5,50.733
617,50.776
617.5,50.76
618,50.625
618.5,50.478
619,50.496
619.5,50.654
620,50.758
620.5,50.738
621,50.703
621.5,50.713
622,50.724
622.5,50.735
623,50.794
623.5,50.876
624,50.9
624.5,50.859
625,50.807
625.5,50.765
626,50.729
626.5,50.717
627,50.726
627.5,50.732
628,50.738
628.5,50.755
629,50.76
629.5,50.735
630,50.697
630.5,50.694
631,50.755
631.5,50.858
632,50.938
632.5,50.931
633,50.839
633.5,50.744
634,50.742
634.5,50.847
635,50.965
635.5,50.994
636,50.928
636.5,50.851
637,50.822
637.5,50.818
638,50.792
638.5,50.752
639,50.76
639.5,50.808
640,50.804
640.5,50.737
641,50.697
641.5,50.714
642,50.745
642.5,50.806
643,50.917
643.5,51.007
644,50.996
644.5,50.886
645,50.769
645.5,50.785
646,50.952
646.5,51.102
647,51.131
647.5,51.115
648,51.087
648.5,51.007
649,50.933
649.5,50.949
650,50.999
650.5,50.973
651,50.875
651.5,50.803
652,50.813
652.5,50.845
653,50.839
653.5,50.852
654,50.945
654.5,51.039
655,51.03
655.5,50.982
656,50.992
656.5,50.972
657,50.833
657.5,50.728
658,50.834
658.5,51.046
659,51.114
659.5,50.994
660,50.865
660.5,50.855
661,50.887
661.5,50.844
662,50.761
662.5,50.752
663,50.819
663.5,50.875
664,50.903
664.5,50.931
665,50.947
665.5,50.907
666,50.808
666.5,50.69
667,50.613
667.5,50.633
668,50.732
668.5,50.795
669,50.787
669.5,50.847
670,51.026
670.5,51.127
671,51.04
671.5,50.948
672,50.988
672.5,51.05
673,51.013
673.5,50.921
674,50.864
674.5,50.856
675,50.847
675.5,50.806
676,50.783
676.5,50.84
677,50.94
677.5,50.989
678,50.975
678.5,50.965
679,50.973
679.5,50.92
680,50.787
680.5,50.722
681,50.861
681.5,51.081
682,51.161
682.5,51.116
683,51.094
683.5,51.093
684,51.027
684.5,50.92
685,50.852
685.5,50.842
686,50.872
686.5,50.911
687,50.926
687.5,50.942
688,51.02
688.5,51.115
689,51.102
689.5,50.968
690,50.826
690.5,50.785
691,50.848
691.5,50.875
692,50.77
692.5,50.686
693,50.789
693.5,50.966
694,51.038
694.5,51.026
695,50.991
695.5,50.926
696,50.873
696.5,50.9
697,50.957
697.5,50.947
698,50.871
698.5,50.814
699,50.818
699.5,50.856
700,50.885
700.5,50.875
701,50.794
701.5,50.654
702,50.566
702.5,50.608
703,50.674
703.5,50.642
704,50.63
704.5,50.812
705,51.079
705.5,51.186
706,51.131
706.5,51.088
707,51.095
707.5,51.036
708,50.888
708.5,50.749
709,50.68
709.5,50.668
710,50.698
710.5,50.742
711,50.753
711.5,50.756
712,50.806
712.5,50.849
713,50.763
713.5,50.587
714,50.501
714.5,50.544
715,50.552
715.5,50.483
716,50.55
716.5,50.848
717,51.124
717.5,51.137
718,50.979
718.5,50.846
719,50.767
719.5,50.686
720,50.631
720.5,50.65
721,50.691
721.5,50.643
722,50.482
722.5,50.347
723,50.403
723.5,50.641
724,50.868
724.5,50.899
725,50.726
725.5,50.513
726,50.45
726.5,50.541
727,50.616
727.5,50.631
728,50.747
728.5,50.982
729,51.112
729.5,51.017
730,50.874
730.5,50.878
731,50.951
731.5,50.892
732,50.706
732.5,50.595
733,50.66
733.5,50.813
734,50.92
734.5,50.944
735,50.942
735.5,50.914
736,50.779
736.5,50.601
737,50.601
737.5,50.783
738,50.87
738.5,50.779
739,50.772
739.5,50.984
740,51.218
740.5,51.278
741,51.163
741.5,50.958
742,50.786
742.5,50.77
743,50.887
743.5,50.976
744,50.942
744.5,50.839
745,50.76
745.5,50.694
746,50.612
746.5,50.627
747,50.83
747.5,51.04
748,51.055
748.5,51.001
749,51.056
749.5,51.11
750,51.052
750.5,51.078
751,51.309
751.5,51.51
752,51.489
752.5,51.385
753,51.364
753.5,51.381
754,51.349
754.5,51.288
755,51.234
755.5,51.155
756,51.031
756.5,50.935
757,50.904
757.5,50.847
758,50.726
758.5,50.665
759,50.747
759.5,50.882
760,50.995
760.5,51.089
